matrix size,matrix multiplication time,matrix multiplication time using a transpose matrix
463,0.00935,0.008244
464,0.009396,0.009578
465,0.010616,0.009464
466,0.011413,0.00948
467,0.012309,0.010361
468,0.011088,0.008826
469,0.010568,0.009041
470,0.010906,0.009073
471,0.0111,0.008993
472,0.011076,0.008964
473,0.010702,0.008893
474,0.010254,0.009005
475,0.01041,0.009115
476,0.011222,0.008949
477,0.011696,0.008857
478,0.010631,0.008577
479,0.010746,0.008816
480,0.010198,0.008948
481,0.010873,0.009237
482,0.011149,0.009035
483,0.010235,0.008843
484,0.011009,0.010159
485,0.01116,0.009314
486,0.011467,0.009671
487,0.011914,0.009415
488,0.01097,0.009471
489,0.01165,0.009348
490,0.01111,0.009579
491,0.011615,0.009673
492,0.011012,0.010115
493,0.012112,0.009341
494,0.011168,0.009472
495,0.011401,0.00955
496,0.010845,0.00958
497,0.011726,0.009553
498,0.011185,0.009493
499,0.012739,0.009874
500,0.011988,0.01033
501,0.012145,0.010292
502,0.011679,0.009747
503,0.011158,0.009864
504,0.01117,0.0099
505,0.011157,0.010055
506,0.012559,0.009825
507,0.011866,0.009802
508,0.011069,0.009836
509,0.011788,0.01007
510,0.012591,0.010001
511,0.011265,0.009967
512,0.011169,0.009981
513,0.011492,0.010317
514,0.011897,0.011031
515,0.011985,0.010427
516,0.011574,0.010458
517,0.011708,0.010514
518,0.012336,0.01081
519,0.012255,0.010634
520,0.012635,0.010367
521,0.011351,0.01024
522,0.012204,0.010791
523,0.013332,0.0111
524,0.01262,0.01142
525,0.012421,0.011244
526,0.012416,0.011735
527,0.013317,0.011646
528,0.012804,0.011769
529,0.012701,0.011555
530,0.01285,0.011511
531,0.012809,0.011579
532,0.013035,0.011993
533,0.01304,0.011539
534,0.012958,0.011902
535,0.013003,0.012051
536,0.01344,0.012207
537,0.013058,0.011847
538,0.012978,0.012517
539,0.014056,0.012501
540,0.013467,0.011828
541,0.013162,0.011982
542,0.013217,0.012224
543,0.0135,0.012352
544,0.013897,0.012158
545,0.013116,0.011773
546,0.014451,0.012275
547,0.013834,0.012374
548,0.013364,0.012164
549,0.013807,0.01197
550,0.013742,0.012369
551,0.013793,0.012398
552,0.013489,0.012214
553,0.014114,0.011999
554,0.013538,0.012599
555,0.013394,0.011784
556,0.014079,0.012038
557,0.013537,0.012057
558,0.013501,0.011951
559,0.013156,0.012891
560,0.014149,0.012861
561,0.014444,0.013365
562,0.014324,0.01264
563,0.013853,0.012558
564,0.014365,0.012401
565,0.01359,0.012654
566,0.013798,0.012322
567,0.013568,0.012054
568,0.014182,0.012474
569,0.013616,0.0121
570,0.013681,0.012117
571,0.014112,0.013164
572,0.015043,0.013502
573,0.014531,0.012998
574,0.014551,0.013423
575,0.014691,0.013173
576,0.014625,0.013177
577,0.014462,0.012734
578,0.014573,0.013301
579,0.01461,0.012906
580,0.014688,0.012722
581,0.015509,0.013126
582,0.015101,0.014001
583,0.015326,0.013987
584,0.015051,0.013648
585,0.014923,0.013439
586,0.014717,0.012822
587,0.014539,0.012897
588,0.014721,0.013017
589,0.01486,0.013315
590,0.014921,0.013759
591,0.01559,0.013623
592,0.01634,0.014118
593,0.015887,0.014219
594,0.015635,0.014298
595,0.015665,0.013859
596,0.015802,0.013704
597,0.015102,0.013304
598,0.015465,0.01394
599,0.015632,0.015791
600,0.018624,0.016372
601,0.0187,0.01519
602,0.017317,0.015164
603,0.016707,0.015086
604,0.016983,0.015033
605,0.016699,0.015119
606,0.019825,0.017994
607,0.02095,0.020347
608,0.020937,0.019492
609,0.017053,0.015428
610,0.018066,0.019333
611,0.019922,0.015455
612,0.017274,0.015701
613,0.017571,0.016121
614,0.018691,0.017538
615,0.018131,0.017468
616,0.0173,0.015542
617,0.01707,0.015501
618,0.017695,0.016528
619,0.018669,0.016304
620,0.017709,0.015931
621,0.017594,0.016004
622,0.017693,0.015812
623,0.01783,0.016236
624,0.017442,0.015825
625,0.018131,0.015576
626,0.017505,0.017953
627,0.020871,0.016918
628,0.017626,0.015699
629,0.017436,0.016256
630,0.016726,0.015085
631,0.017182,0.015462
632,0.017139,0.015523
633,0.017509,0.016389
634,0.019068,0.016166
635,0.018738,0.016553
636,0.01797,0.016287
637,0.018069,0.015845
638,0.017473,0.015273
639,0.017723,0.015674
640,0.017374,0.015552
641,0.019136,0.016179
642,0.018324,0.015705
643,0.018881,0.01707
644,0.019996,0.016974
645,0.019006,0.016447
646,0.019155,0.016995
647,0.019161,0.01596
648,0.019009,0.016249
649,0.018533,0.01617
650,0.019037,0.017971
651,0.02062,0.016951
652,0.020404,0.017574
653,0.019942,0.017114
654,0.020184,0.016745
655,0.021145,0.016726
656,0.020185,0.016906
657,0.019831,0.017903
658,0.020301,0.02052
659,0.027656,0.020965
660,0.020348,0.01758
661,0.020704,0.017188
662,0.020514,0.017002
663,0.019299,0.01681
664,0.019822,0.016972
665,0.019494,0.016504
666,0.01935,0.018084
667,0.020533,0.018721
668,0.021011,0.017504
669,0.020594,0.017595
670,0.020346,0.01844
671,0.022253,0.01907
672,0.023414,0.021781
673,0.025401,0.022462
674,0.021932,0.018674
675,0.022085,0.018508
676,0.021853,0.018882
677,0.022082,0.019715
678,0.022123,0.019048
679,0.022028,0.019117
680,0.022715,0.01879
681,0.022243,0.019604
682,0.021862,0.01964
683,0.02161,0.018681
684,0.021841,0.018462
685,0.021275,0.018339
686,0.022321,0.018792
687,0.022154,0.018342
688,0.021699,0.018925
689,0.023017,0.019039
690,0.02184,0.019123
691,0.02194,0.018727
692,0.022721,0.018527
693,0.02187,0.018693
694,0.021875,0.018466
695,0.022518,0.018864
696,0.022848,0.019662
697,0.022446,0.019106
698,0.022184,0.018825
699,0.0216,0.01863
700,0.022122,0.018248
701,0.022465,0.019213
702,0.022881,0.019443
703,0.023737,0.020415
704,0.02352,0.020169
705,0.024463,0.020775
706,0.02297,0.020228
707,0.02376,0.019409
708,0.022764,0.019644
709,0.023292,0.020264
710,0.024216,0.020629
711,0.023306,0.01956
712,0.022541,0.019449
713,0.022578,0.019058
714,0.022664,0.019271
715,0.022975,0.019556
716,0.025115,0.021715
717,0.024944,0.020336
718,0.025348,0.021046
719,0.025137,0.022416
720,0.024739,0.021302
721,0.02335,0.019825
722,0.023909,0.020438
723,0.025182,0.021487
724,0.024977,0.020622
725,0.024895,0.021085
726,0.025082,0.021608
727,0.029597,0.023621
728,0.029802,0.02613
729,0.025892,0.021822
730,0.025117,0.021543
731,0.029395,0.021396
732,0.025221,0.021384
733,0.024206,0.020729
734,0.025397,0.021834
735,0.02608,0.022121
736,0.025448,0.021305
737,0.024802,0.021394
738,0.024483,0.020665
739,0.024518,0.021285
740,0.025264,0.021388
741,0.027473,0.023428
742,0.026785,0.021847
743,0.026598,0.021977
744,0.025831,0.02124
745,0.025126,0.022548
746,0.031211,0.02711
747,0.028113,0.022799
748,0.026904,0.023302
749,0.027667,0.02317
750,0.026932,0.02254
751,0.026836,0.022354
752,0.026665,0.021851
753,0.029423,0.026576
754,0.028272,0.02358
755,0.027332,0.022951
756,0.027552,0.022693
757,0.028129,0.027178
758,0.03042,0.024307
759,0.027386,0.02297
760,0.029339,0.02785
761,0.028265,0.022499
762,0.026718,0.022234
763,0.02549,0.022111
764,0.027779,0.022469
765,0.029351,0.023399
766,0.028473,0.023474
767,0.026614,0.022518
768,0.0275,0.022919
769,0.026098,0.022965
770,0.026567,0.026687
771,0.027036,0.023343
772,0.029532,0.02909
773,0.029097,0.02368
774,0.02815,0.025487
775,0.026341,0.029217
776,0.030799,0.02434
777,0.029777,0.026913
778,0.02936,0.025602
779,0.028309,0.025535
780,0.028956,0.026675
781,0.030045,0.025538
782,0.029726,0.026931
783,0.030108,0.027373
784,0.028979,0.025963
785,0.0293,0.025923
786,0.029646,0.024601
787,0.029302,0.025476
788,0.02868,0.027126
789,0.029959,0.026783
790,0.02968,0.025942
791,0.030042,0.026233
792,0.033262,0.028314
793,0.030356,0.027482
794,0.030458,0.029086
795,0.029859,0.025563
796,0.031371,0.029329
797,0.036491,0.029861
798,0.031707,0.02824
799,0.031106,0.028219
800,0.030633,0.027514
801,0.030956,0.027089
802,0.032265,0.028805
803,0.031789,0.028043
804,0.031577,0.027273
805,0.031794,0.027619
806,0.030662,0.027151
807,0.031907,0.02984
808,0.029242,0.029452
809,0.031847,0.02815
810,0.031425,0.027617
811,0.031312,0.031451
812,0.032278,0.026869
813,0.030521,0.026192
814,0.0324,0.031762
815,0.031651,0.028059
816,0.030738,0.027801
817,0.03052,0.030335
818,0.030255,0.027906
819,0.033313,0.031187
820,0.032209,0.028269
821,0.032105,0.028551
822,0.035687,0.027805
823,0.031885,0.029537
824,0.032794,0.03086
825,0.032068,0.030434
826,0.031954,0.028464
827,0.03434,0.028302
828,0.034112,0.029817
829,0.032658,0.029285
830,0.032385,0.028691
831,0.032487,0.029231
832,0.032613,0.028021
833,0.033467,0.029834
834,0.032813,0.030734
835,0.033614,0.029642
836,0.033141,0.030536
837,0.034651,0.032691
838,0.034948,0.032566
839,0.033184,0.029331
840,0.033823,0.0314
841,0.031402,0.030489
842,0.0354,0.030684
843,0.034034,0.031561
844,0.031078,0.026863
845,0.032972,0.030094
846,0.035977,0.02949
847,0.035581,0.030796
848,0.03373,0.030019
849,0.03455,0.029773
850,0.034228,0.030394
851,0.034434,0.031791
852,0.036373,0.032957
853,0.034528,0.031349
854,0.036371,0.030898
855,0.036522,0.032253
856,0.036023,0.031243
857,0.034954,0.030726
858,0.035325,0.043161
859,0.034448,0.031279
860,0.033808,0.031642
861,0.035748,0.033389
862,0.03414,0.031086
863,0.034471,0.03142
864,0.038982,0.033036
865,0.037383,0.034092
866,0.037406,0.034846
867,0.036004,0.031691
868,0.038396,0.033775
869,0.037152,0.032491
870,0.036513,0.032147
871,0.035837,0.031561
872,0.034583,0.034743
873,0.039112,0.033392
874,0.038334,0.03302
875,0.036542,0.032539
876,0.035354,0.031908
877,0.038156,0.03234
878,0.036886,0.03265
879,0.037266,0.033679
880,0.035605,0.034106
881,0.037666,0.034631
882,0.038083,0.033109
883,0.037844,0.036221
884,0.038424,0.034893
885,0.03957,0.035933
886,0.038954,0.035641
887,0.039036,0.036704
888,0.037456,0.033692
889,0.043312,0.040228
890,0.041355,0.034884
891,0.038968,0.035381
892,0.039223,0.035549
893,0.038878,0.034849
894,0.038811,0.033947
895,0.037868,0.034352
896,0.037976,0.033003
897,0.05428,0.036315
898,0.052951,0.036368
899,0.053834,0.037956
900,0.051269,0.035992
901,0.05569,0.038846
902,0.046218,0.034827
903,0.056412,0.036761
904,0.057756,0.03852
905,0.057171,0.038288
906,0.060558,0.037047
907,0.060183,0.038708
908,0.057674,0.037532
909,0.064303,0.039636
910,0.054652,0.037295
911,0.05643,0.039435
912,0.059611,0.037245
913,0.054716,0.036626
914,0.055572,0.036512
915,0.056358,0.037936
916,0.06265,0.039981
917,0.052359,0.036247
918,0.053349,0.037773
919,0.05789,0.036705
920,0.050551,0.034793
921,0.054681,0.037047
922,0.054928,0.03883
923,0.062326,0.039893
924,0.06116,0.03911
925,0.054893,0.037785
926,0.059278,0.039498
927,0.062941,0.039489
928,0.06018,0.049392
929,0.06552,0.042721
930,0.05508,0.037821
931,0.056293,0.037859
932,0.060652,0.038148
933,0.061583,0.038269
934,0.060069,0.036529
935,0.05636,0.042098
936,0.069351,0.042478
937,0.059799,0.04072
938,0.057055,0.040694
