matrix size,matrix multiplication time,matrix multiplication time using a transpose matrix
327,0.00108015,0.000958266
328,0.00117464,0.000977643
329,0.0011894,0.00113711
330,0.00116031,0.00100198
331,0.00232282,0.00132582
332,0.0011094,0.000996417
333,0.00117364,0.00218593
334,0.00454238,0.00113363
335,0.00138693,0.00105521
336,0.00121899,0.00104281
337,0.00123368,0.0010666
338,0.00124644,0.0010875
339,0.00192122,0.0012748
340,0.00138046,0.00113307
341,0.00123289,0.00105387
342,0.00132723,0.00113575
343,0.00125369,0.00109071
344,0.00137164,0.00253318
345,0.00271427,0.00212351
346,0.00172064,0.0011334
347,0.0012572,0.00108759
348,0.00270551,0.00215064
349,0.00202431,0.00164239
350,0.00132536,0.00110009
351,0.00125418,0.00112133
352,0.0013284,0.00117621
353,0.00208268,0.00187132
354,0.00140165,0.00112584
355,0.00139545,0.00112887
356,0.00133959,0.00113365
357,0.00131876,0.00113162
358,0.00133243,0.00114123
359,0.00136277,0.00115664
360,0.00137539,0.00116329
361,0.00135491,0.00116176
362,0.00139992,0.00117176
363,0.00201452,0.00122698
364,0.00138532,0.00117775
365,0.00140236,0.00118684
366,0.00139568,0.00120886
367,0.001388,0.0012225
368,0.00141239,0.00121146
369,0.0014205,0.00121649
370,0.001422,0.00122209
371,0.00143848,0.00123014
372,0.00145342,0.00123842
373,0.00145817,0.00124023
374,0.00146426,0.0012487
375,0.00145754,0.00125792
376,0.00149524,0.00126032
377,0.00147423,0.0012691
378,0.00148467,0.00127446
379,0.00151735,0.00128528
380,0.002228,0.0022571
381,0.00150325,0.00285562
382,0.0112189,0.00148906
383,0.00161003,0.00136543
384,0.00155107,0.00137636
385,0.00509106,0.00189868
386,0.00159599,0.00137455
387,0.00158434,0.00140062
388,0.00241697,0.00402893
389,0.00183405,0.00147651
390,0.00165192,0.00140034
391,0.0016148,0.00274748
392,0.00174855,0.00167345
393,0.00174694,0.00143181
394,0.00162012,0.00147325
395,0.00161536,0.00138799
396,0.00162503,0.00150746
397,0.00163953,0.00144161
398,0.00161356,0.00141683
399,0.00164512,0.00142959
400,0.0019244,0.00149546
401,0.00169592,0.0015206
402,0.00163916,0.00143116
403,0.00163912,0.0014467
404,0.00168867,0.00144906
405,0.00169947,0.00145964
406,0.00252227,0.00146728
407,0.00186381,0.00174103
408,0.00182095,0.00163835
409,0.0017249,0.0014744
410,0.00172644,0.00164984
411,0.00174691,0.00149749
412,0.00175078,0.00155004
413,0.00177305,0.00150309
414,0.00179436,0.00151294
415,0.00179836,0.00153836
416,0.00183624,0.0015335
417,0.00180549,0.00153431
418,0.00181958,0.0015371
419,0.00181021,0.00154906
420,0.00185682,0.00156158
421,0.00182704,0.0015569
422,0.00183226,0.00157366
423,0.00191674,0.00160535
424,0.00185309,0.00158979
425,0.00187308,0.0016057
426,0.00209121,0.0016852
427,0.00242021,0.00170934
428,0.00189775,0.00203697
429,0.00184374,0.00170094
430,0.00193587,0.0017781
431,0.00204976,0.00366261
432,0.0020976,0.00172173
433,0.00194527,0.00179944
434,0.00191831,0.00253402
435,0.00217705,0.00169925
436,0.00195894,0.00168526
437,0.00242471,0.00168684
438,0.00197517,0.00171732
439,0.00215871,0.00170111
440,0.00284734,0.011162
441,0.00213405,0.00176766
442,0.0121901,0.00408386
443,0.00493044,0.00209685
444,0.00218623,0.00184805
445,0.00211541,0.00254046
446,0.0021736,0.00180565
447,0.00205601,0.0017783
448,0.0020377,0.00179729
449,0.00209221,0.00177836
450,0.00207384,0.00178075
451,0.00218353,0.0018019
452,0.00215508,0.00180385
453,0.00213357,0.00180594
454,0.00218527,0.00184483
455,0.00225174,0.00187837
456,0.0021643,0.0020943
457,0.0023288,0.0018314
458,0.00216122,0.0018399
459,0.00230167,0.00185457
460,0.00217042,0.00198882
461,0.00219893,0.00186511
462,0.00240253,0.0019353
463,0.00221321,0.00205449
464,0.00232594,0.00198744
465,0.0021283,0.0019667
466,0.00225474,0.00192277
467,0.00224394,0.00191555
468,0.00227027,0.00216833
469,0.00260344,0.00199628
470,0.00245941,0.00194101
471,0.00229186,0.00199145
472,0.00235302,0.00195262
473,0.00227628,0.0019805
474,0.00234046,0.00234924
475,0.00231858,0.00199166
476,0.00235806,0.00230564
477,0.00239671,0.00202341
478,0.00232019,0.00200043
479,0.00239322,0.00221361
480,0.00248918,0.00208237
481,0.00240479,0.00204946
482,0.00255116,0.00202805
483,0.00241592,0.00204033
484,0.00240036,0.00303348
485,0.00257335,0.00207359
486,0.00289951,0.00227587
487,0.00242998,0.00211183
488,0.00309284,0.00228746
489,0.00244161,0.00230661
490,0.00245677,0.00245108
491,0.00293216,0.00213609
492,0.00236622,0.00215066
493,0.00254385,0.002128
494,0.00285397,0.00221206
495,0.00928093,0.00224561
496,0.00261264,0.00292919
497,0.00308124,0.00252386
498,0.00250856,0.00334527
499,0.00405589,0.00257219
500,0.0025966,0.00225819
501,0.00451971,0.00271155
502,0.00299956,0.00222827
503,0.00273634,0.00293056
504,0.00371641,0.00272045
505,0.00253056,0.00226493
506,0.00586474,0.00306343
507,0.00269833,0.00231567
508,0.0026444,0.00227038
509,0.00354454,0.00263546
510,0.00254945,0.00286934
511,0.00373088,0.00283502
512,0.00267877,0.00313893
513,0.00370904,0.00292972
514,0.00362295,0.00250008
515,0.00300745,0.00272256
516,0.00273451,0.00232251
517,0.00415678,0.00277209
518,0.00277859,0.00246109
519,0.00317694,0.00235782
520,0.00269546,0.00238666
521,0.00297162,0.00243991
522,0.00301845,0.00242258
523,0.00300221,0.00269568
524,0.00304546,0.00245608
525,0.00455696,0.00240431
526,0.00287238,0.00238949
527,0.00338259,0.00280023
528,0.00263491,0.00243731
529,0.00321801,0.00282271
530,0.00289399,0.0024674
531,0.00306267,0.00251288
532,0.00314412,0.00290818
533,0.0030662,0.00247198
534,0.00289844,0.00287139
535,0.00297893,0.00267849
536,0.00289704,0.0027183
537,0.00325918,0.0025896
538,0.00287036,0.00487983
539,0.00362495,0.0025813
