matrix size,matrix multiplication time,matrix multiplication time using a transpose matrix
550,0.010132,0.009158
551,0.009933,0.009112
552,0.010009,0.009455
553,0.009517,0.009668
554,0.009216,0.00954
555,0.00996,0.00974
556,0.010023,0.00984
557,0.009723,0.009474
558,0.009848,0.009499
559,0.010021,0.009466
560,0.010336,0.00944
561,0.009744,0.009481
562,0.00975,0.009511
563,0.009854,0.009543
564,0.009505,0.009306
565,0.009403,0.009211
566,0.009888,0.009646
567,0.009952,0.009673
568,0.009966,0.009699
569,0.009948,0.009746
570,0.010515,0.009485
571,0.009756,0.009484
572,0.009733,0.009521
573,0.009757,0.009549
574,0.009872,0.009623
575,0.009947,0.00962
576,0.009805,0.009652
577,0.010009,0.009694
578,0.009927,0.009759
579,0.010499,0.009746
580,0.009903,0.010419
581,0.01076,0.011617
582,0.010496,0.010314
583,0.010419,0.010367
584,0.010543,0.010396
585,0.010479,0.010318
586,0.010706,0.011431
587,0.010735,0.010417
588,0.010697,0.010659
589,0.010615,0.010968
590,0.010438,0.010147
591,0.010676,0.010365
592,0.010657,0.010149
593,0.010554,0.01019
594,0.010375,0.010224
595,0.011349,0.010539
596,0.010472,0.010304
597,0.010559,0.010324
598,0.010514,0.010356
599,0.010538,0.010413
600,0.010507,0.010375
601,0.01062,0.010401
602,0.011361,0.01052
603,0.010618,0.010471
604,0.010659,0.010498
605,0.010745,0.010532
606,0.010742,0.010573
607,0.010789,0.010611
608,0.011018,0.010682
609,0.01095,0.010706
610,0.011404,0.011214
611,0.012124,0.011243
612,0.011513,0.011257
613,0.011884,0.011627
614,0.011626,0.011605
615,0.011109,0.010887
616,0.011108,0.010915
617,0.011167,0.011178
618,0.012001,0.010986
619,0.011225,0.011038
620,0.011235,0.01121
621,0.011642,0.011116
622,0.011321,0.011148
623,0.011343,0.011187
624,0.011396,0.011227
625,0.011457,0.011268
626,0.011537,0.011315
627,0.011526,0.011332
628,0.012175,0.011399
629,0.011624,0.011471
630,0.011686,0.011448
631,0.011698,0.011536
632,0.01178,0.011563
633,0.011759,0.01152
634,0.011755,0.01155
635,0.011794,0.011596
636,0.011793,0.011629
637,0.011839,0.011666
638,0.011908,0.011713
639,0.01273,0.011741
640,0.012026,0.012031
641,0.012073,0.011865
642,0.012082,0.011844
643,0.012108,0.011893
644,0.012126,0.012023
645,0.012192,0.012187
646,0.012288,0.01204
647,0.012306,0.012019
648,0.012294,0.012065
649,0.012316,0.012094
650,0.012361,0.012129
651,0.012442,0.012186
652,0.012467,0.012215
653,0.012545,0.012245
654,0.012557,0.012288
655,0.012576,0.012333
656,0.012598,0.012351
